TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,DF,CONTCODE,YEAR,VALUE,SHIPWT,FREIGHT_CHARGES
1,0104,85,5,1220,2,X,2024,103520,0,2314
1,0104,86,5,1220,1,X,2024,315139,0,689
1,0104,86,5,1220,2,X,2024,13324,0,144
1,0104,87,5,1220,1,X,2024,16333814,0,376652
1,0104,87,5,1220,2,X,2024,479734,0,8339
1,0104,88,5,1220,1,X,2024,68602,0,1344
1,0104,88,5,1220,2,X,2024,338451,0,3347
1,0104,89,5,1220,1,X,2024,156649,0,2447
1,0104,90,5,1220,1,X,2024,18640,0,308
1,0104,90,5,1220,2,X,2024,223167,0,5925
1,0104,90,8,1220,1,X,2024,2749,0,70
1,0104,92,5,1220,1,X,2024,14551,0,420
1,0104,94,5,1220,1,X,2024,217682,0,7537
1,0104,94,5,1220,2,X,2024,12533,0,309
1,0104,95,5,1220,1,X,2024,10147,0,371
1,0104,95,5,1220,2,X,2024,173237,0,4380
1,0104,97,5,1220,1,X,2024,19832,0,431
1,0104,98,5,1220,1,X,2024,299435,0,6503
1,0105,03,5,1220,1,X,2024,19846,0,437
1,0105,05,5,1220,1,X,2024,71979,0,4753
1,0105,08,5,1220,2,X,2024,50539,0,990
1,0105,10,5,1220,1,X,2024,2715,0,59
1,0105,15,6,1220,1,X,2024,230368,0,144
1,0105,22,5,1220,1,X,2024,20681,0,1605
1,0105,25,6,1220,1,X,2024,74064,0,586
1,0105,25,6,1220,2,X,2024,14567530,0,1268194
1,0105,27,6,1220,1,X,2024,5702388,0,114239
1,0105,28,6,1220,1,X,2024,220621,0,492
1,0105,32,5,1220,1,X,2024,6779,0,98
1,0105,38,6,1220,1,X,2024,3274309,0,32415
1,0105,39,5,1220,1,X,2024,128526,0,2437
1,0105,39,5,1220,2,X,2024,17440,0,1642
1,0105,44,5,1220,2,X,2024,70303,0,1376
1,0105,44,6,1220,1,X,2024,9964727,0,200339
1,0105,47,6,1220,1,X,2024,37766,0,21
1,0105,47,6,1220,2,X,2024,721259,0,722
1,0105,54,5,1220,1,X,2024,301590,0,12182
1,0105,56,5,1220,1,X,2024,4734,0,530
1,0105,58,5,1220,1,X,2024,14046,0,275
1,0105,59,5,1220,1,X,2024,106862,0,1395
1,0105,63,5,1220,1,X,2024,8701,0,105
1,0105,63,5,1220,2,X,2024,6179,0,234
1,0105,68,5,1220,1,X,2024,51732,0,1212
1,0105,68,6,1220,1,X,2024,5975564,0,260425
1,0105,70,5,1220,1,X,2024,10736,0,683
1,0105,73,5,1220,1,X,2024,8158,0,1013
1,0105,73,6,1220,2,X,2024,220274,0,146
1,0105,76,5,1220,1,X,2024,51095,0,6442
1,0105,84,5,1220,1,X,2024,33828,0,1333
1,0105,84,5,1220,2,X,2024,49777,0,1387
1,0105,85,5,1220,1,X,2024,9257,0,229
1,0105,86,6,1220,1,X,2024,329703,0,144
1,0105,87,5,1220,1,X,2024,104222,0,2927
1,0105,87,8,1220,1,X,2024,51789,0,2297
1,0105,95,5,1220,1,X,2024,62072,0,5327
1,0106,01,5,1220,1,X,2024,1677922,0,30350
1,0106,03,5,1220,1,X,2024,54703156,0,945009
1,0106,03,5,1220,2,X,2024,11748466,0,208934
1,0106,04,5,1220,1,X,2024,1975411,0,21347
1,0106,05,5,1220,1,X,2024,5009734,0,287652
1,0106,05,5,1220,2,X,2024,134581,0,13094
1,0106,06,5,1220,1,X,2024,1001064,0,10984
1,0106,06,5,1220,2,X,2024,3610601,0,3468
1,0106,07,5,1220,1,X,2024,5312386,0,389751
1,0106,08,5,1220,1,X,2024,3587700,0,92747
1,0106,08,5,1220,2,X,2024,17935810,0,463631
1,0106,09,5,1220,1,X,2024,9361,0,364
1,0106,09,5,1220,2,X,2024,201408,0,4782
1,0106,10,5,1220,1,X,2024,272530,0,6130
1,0106,10,5,1220,2,X,2024,7877,0,674
1,0106,11,5,1220,1,X,2024,1076834,0,111752
1,0106,11,5,1220,2,X,2024,110305,0,7500
1,0106,12,5,1220,1,X,2024,2023686,0,196165
1,0106,12,5,1220,2,X,2024,1118192,0,2948
1,0106,15,5,1220,1,X,2024,2557921,0,31026
1,0106,15,5,1220,2,X,2024,51189,0,6033
1,0106,16,5,1220,1,X,2024,1173967,0,4020
1,0106,16,5,1220,2,X,2024,414425,0,6447
1,0106,17,5,1220,1,X,2024,151843,0,5269
1,0106,17,5,1220,2,X,2024,189869,0,10394
1,0106,18,5,1220,1,X,2024,1344386,0,53619
1,0106,18,5,1220,2,X,2024,11361,0,1118
1,0106,19,5,1220,1,X,2024,20312968,0,1124692
1,0106,19,5,1220,2,X,2024,18757,0,638
1,0106,20,5,1220,1,X,2024,8364414,0,300929
1,0106,20,5,1220,2,X,2024,782861,0,8099
1,0106,20,6,1220,1,X,2024,32194,0,318
1,0106,21,5,1220,1,X,2024,2768359,0,67614
1,0106,21,5,1220,2,X,2024,126199,0,5686
1,0106,22,5,1220,1,X,2024,1969839,0,107492
1,0106,22,5,1220,2,X,2024,1244348,0,43855
1,0106,23,5,1220,1,X,2024,2846255,0,65160
1,0106,25,5,1220,1,X,2024,3072777,0,125320
1,0106,25,5,1220,2,X,2024,41513,0,2327
1,0106,26,6,1220,1,X,2024,20481,0,2732
1,0106,27,5,1220,1,X,2024,17168534,0,337736
1,0106,27,5,1220,2,X,2024,29257,0,1405
1,0106,28,5,1220,1,X,2024,9653985,0,590053
1,0106,28,5,1220,2,X,2024,131121,0,5130
1,0106,29,5,1220,1,X,2024,10253680,0,114813
1,0106,29,5,1220,2,X,2024,2493359,0,111210
1,0106,30,5,1220,1,X,2024,215987,0,2908
1,0106,30,5,1220,2,X,2024,34630,0,343
1,0106,31,5,1220,1,X,2024,1485085,0,142930
1,0106,31,5,1220,2,X,2024,75633,0,1482
1,0106,32,5,1220,1,X,2024,6858050,0,187053
1,0106,32,5,1220,2,X,2024,253084,0,4679
1,0106,33,5,1220,1,X,2024,1645454,0,19580
1,0106,33,5,1220,2,X,2024,5216820,0,95416
1,0106,34,5,1220,1,X,2024,3653641,0,156796
1,0106,35,5,1220,1,X,2024,647766,0,19658
1,0106,35,5,1220,2,X,2024,5551,0,5
1,0106,36,5,1220,1,X,2024,9541,0,584
1,0106,38,5,1220,1,X,2024,7756650,0,199640
1,0106,38,5,1220,2,X,2024,1322636,0,53079
1,0106,39,5,1220,1,X,2024,61282499,0,2061975
1,0106,39,5,1220,2,X,2024,3038730,0,90169
1,0106,40,5,1220,1,X,2024,83896587,0,4687083
1,0106,40,5,1220,2,X,2024,4252254,0,152971
1,0106,41,5,1220,1,X,2024,3029,0,59
1,0106,42,5,1220,1,X,2024,41231,0,595
1,0106,42,5,1220,2,X,2024,14595,0,171
1,0106,44,5,1220,1,X,2024,15812277,0,699291
1,0106,44,5,1220,2,X,2024,1133254,0,30539
1,0106,47,5,1220,1,X,2024,3051392,0,70825
1,0106,47,5,1220,2,X,2024,151318,0,1506
1,0106,47,6,1220,1,X,2024,95563,0,581
1,0106,48,5,1220,1,X,2024,35319352,0,1350263
1,0106,48,5,1220,2,X,2024,5131562,0,27222
1,0106,48,6,1220,1,X,2024,23317,0,457
1,0106,48,8,1220,1,X,2024,8023,0,163
1,0106,49,5,1220,1,X,2024,1507523,0,19360
1,0106,49,5,1220,2,X,2024,35517,0,145
1,0106,51,5,1220,1,X,2024,12609,0,99
1,0106,52,5,1220,1,X,2024,105781,0,2619
1,0106,52,5,1220,2,X,2024,2611,0,64
1,0106,53,5,1220,1,X,2024,3837,0,75
1,0106,54,5,1220,1,X,2024,712369,0,12486
1,0106,54,5,1220,2,X,2024,405862,0,574
