TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0106,54,5,1220,4683,0,101,1,X,01,2025
1,0106,54,5,1220,138998,0,69,2,X,01,2025
1,0106,56,5,1220,1376520,0,5505,1,X,01,2025
1,0106,57,5,1220,134990,0,3912,1,X,01,2025
1,0106,59,5,1220,147707,0,8380,1,X,01,2025
1,0106,64,5,1220,13241,0,312,1,X,01,2025
1,0106,65,5,1220,2912,0,2,1,X,01,2025
1,0106,68,5,1220,580676,0,39642,1,X,01,2025
1,0106,70,5,1220,688147,0,19746,1,X,01,2025
1,0106,72,5,1220,834649,0,21996,1,X,01,2025
1,0106,72,5,1220,186879,0,1842,2,X,01,2025
1,0106,73,5,1220,3996818,0,256187,1,X,01,2025
1,0106,73,5,1220,388135,0,25516,2,X,01,2025
1,0106,74,5,1220,237960,0,3309,1,X,01,2025
1,0106,76,5,1220,384648,0,26941,1,X,01,2025
1,0106,76,5,1220,3918,0,77,2,X,01,2025
1,0106,80,5,1220,105470,0,166,2,X,01,2025
1,0106,82,5,1220,36763,0,981,1,X,01,2025
1,0106,82,5,1220,2808,0,1,2,X,01,2025
1,0106,83,5,1220,121804,0,4249,1,X,01,2025
1,0106,83,5,1220,101951,0,316,2,X,01,2025
1,0106,84,5,1220,3994542,0,79041,1,X,01,2025
1,0106,84,5,1220,6512502,0,83310,2,X,01,2025
1,0106,85,5,1220,1439388,0,19161,1,X,01,2025
1,0106,85,5,1220,348801,0,1372,2,X,01,2025
1,0106,86,5,1220,18663,0,69,1,X,01,2025
1,0106,87,5,1220,8994159,0,121770,1,X,01,2025
1,0106,87,5,1220,2028236,0,26202,2,X,01,2025
1,0106,89,5,1220,751528,0,6705,1,X,01,2025
1,0106,90,5,1220,1160394,0,16206,1,X,01,2025
1,0106,90,5,1220,267367,0,2456,2,X,01,2025
1,0106,93,5,1220,595079,0,69,1,X,01,2025
1,0106,94,5,1220,1049943,0,15053,1,X,01,2025
1,0106,94,5,1220,83221,0,3821,2,X,01,2025
1,0106,95,5,1220,3275,0,120,1,X,01,2025
1,0106,96,5,1220,204418,0,4009,1,X,01,2025
1,0106,98,5,1220,6159,0,4,2,X,01,2025
